title_key,n_openalex_work_ids,representative_title,work_ids,years,raw_reference_edges
topological quantum memory,2,Topological quantum memory,W2088636071; W3100736866,"2001, 2002",4
towards a mathematical science of computation,2,Towards a Mathematical Science of Computation,W2124141583; W3181441684,"1962, 1993",4
towards the essence of hygiene,2,Towards the Essence of Hygiene,W2064093999; W4244095209,"2014, 2015",4
tracking load time configuration options,2,Tracking load-time configuration options,W2073869982; W2760679152,"2014, 2017",4
trading t gates for dirty qubits in state preparation and unitary synthesis,2,Trading T gates for dirty qubits in state preparation and unitary synthesis,W2902431979; W4289147395,"2018, 2024",4
transactions in relaxed memory architectures,2,Transactions in relaxed memory architectures,W2779780123; W2898628115,"2017, 2018",4
tree borrows,2,Tree Borrows,W4411267027; W6911779823,2025,4
tricorder building a program analysis ecosystem,2,Tricorder: Building a Program Analysis Ecosystem,W2064296229; W4254666025,2015,4
type inference for datalog with complex type hierarchies,2,Type inference for datalog with complex type hierarchies,W2103838931; W4250251590,2010,4
typedevil dynamic type inconsistency analysis for javascript,2,TypeDevil: dynamic type inconsistency analysis for JavaScript,W2038461625; W4240995061,2015,4
ulterior reference counting,2,Ulterior reference counting,W2162435060; W3163911544,2003,4
unifiers as equivalences proof relevant unification of dependently typed data,2,Unifiers as equivalences: proof-relevant unification of dependently typed data,W2513071761; W3005677913,2016,4
unifying data and control transformations for distributed shared memory machines,2,Unifying data and control transformations for distributed shared-memory machines,W1973122629; W3036164445,1995,4
unifying typing and subtyping,2,Unifying typing and subtyping,W2761821266; W3161264600,2017,4
variance analyses from invariance analyses,2,Variance analyses from invariance analyses,W2135331739; W4241086578,2007,4
vbr version based reclamation,2,VBR: Version Based Reclamation,W3174400449; W3186822456,2021,4
vector models for data parallel computing,2,Vector Models for Data-Parallel Computing,W1967321130; W2112708371,"1990, 1991",4
verification of neural networks global robustness,2,Verification of Neural Networks' Global Robustness,W4392575204; W4396214268,2024,4
verification of randomized consensus algorithms under round rigid adversaries,2,Verification of Randomized Consensus Algorithms Under Round-Rigid Adversaries,W2963537662; W3128905785,"2019, 2021",4
veriflow,2,VeriFlow,W2122695394; W4233458882,2012,4
verifying dynamic trait objects in rust,2,Verifying Dynamic Trait Objects in Rust,W4283073038; W4312877890,2022,4
verifying gpu kernels by test amplification,2,Verifying GPU kernels by test amplification,W2167995056; W3135555903,2012,4
verifying relative safety accuracy and termination for program approximations,2,"Verifying Relative Safety, Accuracy, and Termination for Program Approximations",W2467947344; W2738309652,"2016, 2017",4
virtual machine showdown,2,Virtual machine showdown,W2010167524; W2167505354,"2005, 2008",4
when less is more consequence finding in a weak theory of arithmetic,2,When Less Is More: Consequence-Finding in a Weak Theory of Arithmetic,W4308670145; W4315630873,"2022, 2023",4
whole program paths,2,Whole program paths,W2108112890; W4239327426,1999,4
write rationing garbage collection for hybrid memories,2,Write-rationing garbage collection for hybrid memories,W2799012131; W4229939983,2018,4
a case for dot theoretical foundations for objects with pattern matching and gadt style reasoning,2,A case for DOT: Theoretical Foundations for Objects With Pattern Matching and GADT-style Reasoning,W4297847678; W4307731841,2022,3
a classical sequent calculus with dependent types,2,A Classical Sequent Calculus with Dependent Types,W2528080869; W3128607236,"2017, 2019",3
a collection of novice interactions with the ocaml top level system,2,A Collection Of Novice Interactions With The Ocaml Top-Level System,W4393752495; W4393819010,2017,3
a comprehensive survey on graph neural networks,2,A Comprehensive Survey on Graph Neural Networks,W2907492528; W4210257598,"2020, 2021",3
a concurrent logical framework the propositional fragment,2,A Concurrent Logical Framework: The Propositional Fragment,W1514385560; W2499919128,2004,3
a derivative based parser generator for visibly pushdown grammars,2,A Derivative-based Parser Generator for Visibly Pushdown Grammars,W3196963236; W3206648851,2021,3
a domain specific language for building self optimizing ast interpreters,2,A domain-specific language for building self-optimizing AST interpreters,W2110629752; W3160847527,2014,3
a first look at rigorous probability theory,2,A First Look at Rigorous Probability Theory,W1493856275; W4300129738,"2000, 2006",3
a formalization of typed lua,2,A formalization of typed lua,W2029722734; W4234662752,2015,3
a higher structure identity principle,2,A Higher Structure Identity Principle,W2592155257; W3101135346,2020,3
a history of mathematical notations,2,A history of mathematical notations,W1514058369; W4239610423,"1928, 1929",3
a hybrid approach to semi automated rust verification,2,A Hybrid Approach to Semi-automated Rust Verification,W4393178190; W4411269405,"2024, 2025",3
a logical product approach to zonotope intersection,2,A Logical Product Approach to Zonotope Intersection,W1492125336; W3105930569,2010,3
a methodology for creating fast wait free data structures,2,A methodology for creating fast wait-free data structures,W2140227464; W3008344179,2012,3
a model of cooperative threads,2,A model of cooperative threads,W1995065158; W2088105382,"2009, 2010",3
a nonstandard standardization theorem,2,A nonstandard standardization theorem,W2028576530; W4245514872,2014,3
a performance analysis framework for identifying potential benefits in gpgpu applications,2,A performance analysis framework for identifying potential benefits in GPGPU applications,W2142769604; W3005101099,2012,3
a semantic account of type directed partial evaluation,2,A Semantic Account of Type-Directed Partial Evaluation,W1783167788; W2399951213,1999,3
a set of postulates for the foundation of logic,2,A Set of Postulates for the Foundation of Logic,W2323803659; W4240853462,"1932, 1933",3
a static analysis for quantifying information flow in a simple imperative language,2,A static analysis for quantifying information flow in a simple imperative language,W2147436337; W3039999392,2007,3
a survey of graphical languages for monoidal categories,2,A Survey of Graphical Languages for Monoidal Categories,W1644475622; W3105507374,"2009, 2010",3
a symbolic decision procedure for symbolic alternating finite automata,2,A Symbolic Decision Procedure for Symbolic Alternating Finite Automata,W2528110499; W2964023591,"2016, 2018",3
a system and language for building system specific static analyses,2,"A system and language for building system-specific, static analyses",W2106972913; W4248182592,2002,3
a systematic approach to static access control,2,A Systematic Approach to Static Access Control,W1479723338; W2002829132,"2001, 2005",3
a unified construction of the glushkov follow and antimirov automata,2,"A Unified Construction of the Glushkov, Follow, and Antimirov Automata",W1501213188; W2474245743,2006,3
a versatile constraint based type inference system,2,A versatile constraint-based type inference system,W1600280684; W2999671222,2000,3
a wait free queue as fast as fetch and add,2,A wait-free queue as fast as fetch-and-add,W2269124978; W3015821333,2016,3
adversarial robustness of deep code comment generation,2,Adversarial Robustness of Deep Code Comment Generation,W3190338376; W4210499321,"2021, 2022",3
age based garbage collection,2,Age-based garbage collection,W2068583978; W4250131244,1999,3
algebraic combinatorics on words,2,Algebraic Combinatorics on Words,W1586417893; W2017793853,"2002, 2004",3
algebras for weighted search,2,Algebras for weighted search,W3193490601; W6949915896,2021,3
amandroid,2,Amandroid,W2027538101; W2803054784,"2014, 2018",3
an algorithm for the machine calculation of complex fourier series,2,An algorithm for the machine calculation of complex Fourier series,W2061171222; W4231896027,1965,3
an evaluation of staged run time optimizations in dyc,2,An evaluation of staged run-time optimizations in DyC,W1991751536; W4247335479,1999,3
an explicit formula for the free exponential modality of linear logic,2,An Explicit Formula for the Free Exponential Modality of Linear Logic,W1560529447; W2606916197,"2009, 2017",3
an infinite needle in a finite haystack finding infinite counter models in deductive verification,2,An Infinite Needle in a Finite Haystack: Finding Infinite Counter-Models in Deductive Verification,W4387964126; W4390605341,"2023, 2024",3
an introduction to probability theory and its applications,2,An introduction to probability theory and its applications,W2751862591; W4299432846,"1958, 1972",3
an introduction to quantum error correction and fault tolerant quantum computation,2,An introduction to quantum error correction and fault-tolerant quantum computation,W1675244148; W4394642796,"2009, 2010",3
an open graph visualization system and its applications to software engineering,2,An open graph visualization system and its applications to software engineering,W2001914359; W4238387639,2000,3
an operational semantics for scheme,2,An operational semantics for Scheme,W2002931343; W2165507557,"1992, 2007",3
analytic combinatorics,2,Analytic Combinatorics,W186403072; W2340541605,"2009, 2015",3
approxilyzer towards a systematic framework for instruction level approximate computing and its application to hardware resiliency,2,Approxilyzer: towards a systematic framework for instruction-level approximate computing and its application to hardware resiliency,W2561860907; W4250541405,2016,3
